Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.22.12.0,gps-3.nkmz.donetsk.ua,Reservation (inactive),None,001fd05051a6,
172.22.12.4,OGE-PG740-4.nkmz.donetsk.ua,Reservation (active),DHCP,0050fcb8aa9c,Веремей Борис
172.22.12.10,oge-2417.nkmz.donetsk.ua,Reservation (active),DHCP,00a0d21546e6,
172.22.12.11,nkmz-6702.nkmz.donetsk.ua,12.06.2020 6:51:16,DHCP,RAS,
172.22.12.12,nkmz-6703.nkmz.donetsk.ua,12.06.2020 11:54:44,DHCP,e0d55e7bdf1c,
172.22.12.13,nkmz-6703.nkmz.donetsk.ua,12.06.2020 6:57:49,DHCP,RAS,
172.22.12.14,oge-1752.,Reservation (active),DHCP,00a0d21546cd,
172.22.12.15,oge-3471.nkmz.donetsk.ua,12.06.2020 6:44:56,DHCP,0002b34c9ed5,
172.22.12.16,ogmec-fieldpgsm.nkmz.donetsk.ua,12.06.2020 6:35:27,DHCP,001b1ba30a5d,
172.22.12.17,avin.nkmz.donetsk.ua,12.06.2020 7:16:49,DHCP,000e8c8ebef8,
172.22.12.18,OGE-5323.nkmz.donetsk.ua,12.06.2020 8:01:24,DHCP,1c6f65ad7b35,
172.22.12.19,CanonBCE8D2.nkmz.donetsk.ua,12.06.2020 6:14:42,DHCP,f48139bce8d2,
172.22.12.20,OGE-2659-A.,12.06.2020 7:22:27,DHCP,0002b3b58b7e,
172.22.12.21,OGE-2585.nkmz.donetsk.ua,01.06.2020 6:59:36,DHCP,0002b3b55ef7,
172.22.12.22,OGE-5323.nkmz.donetsk.ua,12.06.2020 8:01:34,DHCP,RAS,
172.22.12.23,oge-3063,Reservation (active),DHCP,0004ac2e3f5b,уст. статически
172.22.12.24,oge-3967.nkmz.donetsk.ua,Reservation (active),DHCP,0013d45bc639,уст. статически
172.22.12.25,oge-4421,Reservation (inactive),None,001731182431,
172.22.12.26,oge-1977,Reservation (inactive),None,00c026a151c3,
172.22.12.27,SIEMENS-66A54FD.,24.05.2020 14:56:34,DHCP,000e8cc5895b,
172.22.12.28,OGE-NOTE.nkmz.donetsk.ua,07.06.2020 7:35:23,DHCP,RAS,
172.22.12.29,boris,Reservation (inactive),None,11111111111111111111111111111111,
172.22.12.30,OGE-NOTE.nkmz.donetsk.ua,07.06.2020 7:35:27,DHCP,RAS,
172.22.12.31,oge-4138.,12.06.2020 6:50:03,DHCP,000ea650f6c9,
172.22.12.32,oge-3065,Reservation (inactive),None,0004ac06c71d,
172.22.12.33,OGE-4950.nkmz.donetsk.ua,12.06.2020 8:01:22,DHCP,b8975a21fc9e,
172.22.12.34,CHPU_SW.nkmz.donetsk.ua,04.06.2020 22:09:00,DHCP,343433312e393265392e313864392d566c616e2d696e7465726661636531,
172.22.12.35,oge-3425.nkmz.donetsk.ua,12.06.2020 7:42:10,DHCP,0002b34c970f,
172.22.12.36,oge-2260.nkmz.donetsk.ua,Reservation (active),DHCP,00e01826d47a,
172.22.12.37,oge-5323,Reservation (inactive),None,1c6f65ad7b25,
172.22.12.38,ogmec-2263,Reservation (inactive),None,00e01826cf94,
172.22.12.39,ogmec-759.nkmz.donetsk.ua,Reservation (active),DHCP,0080ad8be0c2,
172.22.12.40,servicesystem.nkmz.donetsk.ua,28.05.2020 7:57:22,DHCP,001b1ba15589,
172.22.12.41,NKMZ-6814.nkmz.donetsk.ua,12.06.2020 10:08:42,DHCP,04d9f5addef5,
172.22.12.42,oge-2287.,12.06.2020 8:15:01,DHCP,00e01826d27a,
172.22.12.43,OGE-5966.nkmz.donetsk.ua,12.06.2020 9:16:00,DHCP,902b3407b99b,
172.22.12.44,oge-4270.,01.06.2020 8:11:44,DHCP,0013d499b1e7,
172.22.12.46,ogmec-3101.,12.06.2020 7:54:33,DHCP,0002b3c6d887,
172.22.12.47,oge-1427.,11.06.2020 6:59:25,DHCP,00c02628988d,
172.22.12.48,CanonBCE326.nkmz.donetsk.ua,12.06.2020 7:33:52,DHCP,f48139bce326,
172.22.12.50,oge-1852.nkmz.donetsk.ua,05.06.2020 7:13:44,DHCP,00c026a16041,
172.22.12.51,oge-6704.nkmz.donetsk.ua,12.06.2020 9:55:23,DHCP,e0d55e79bc79,
172.22.12.52,Ogmec-4259.,12.06.2020 6:50:15,DHCP,0013d4bc45a7,
172.22.12.53,oge-1778-a.nkmz.donetsk.ua,Reservation (active),DHCP,000e0c76347b,
172.22.12.54,OGE-5346.nkmz.donetsk.ua,12.06.2020 7:08:14,DHCP,1c6f65ad76c7,
172.22.12.57,OGE-5150.nkmz.donetsk.ua,12.06.2020 12:39:07,DHCP,00a1b0101bcc,
172.22.12.58,OGE-5150.nkmz.donetsk.ua,Reservation (active),DHCP,20cf308cce13,
172.22.12.59,FieldPGm4.nkmz.donetsk.ua,12.06.2020 10:36:06,DHCP,001b1bc3efe0,
172.22.12.61,OGE-NOTE.nkmz.donetsk.ua,07.06.2020 8:28:40,DHCP,000f2027d6c7,
172.22.12.62,oge-3673.nkmz.donetsk.ua,11.06.2020 6:39:18,DHCP,0002b3b58b61,
172.22.12.63,oge-3873.nkmz.donetsk.ua,12.06.2020 6:57:00,DHCP,00112fae82a1,
172.22.12.64,OGE-5827.nkmz.donetsk.ua,12.06.2020 10:40:39,DHCP,902b349d6206,
172.22.12.65,OGE-5942.nkmz.donetsk.ua,12.06.2020 7:49:26,DHCP,902b3407beee,
172.22.12.66,OGE-5943.nkmz.donetsk.ua,12.06.2020 8:00:49,DHCP,50e549afa604,
172.22.12.67,oge-6198.nkmz.donetsk.ua,12.06.2020 6:59:32,DHCP,408d5ca5cd5f,
172.22.12.68,nkmz-6702.nkmz.donetsk.ua,12.06.2020 7:07:10,DHCP,e0d55e79bc7f,
172.22.12.69,OGE-6197.nkmz.donetsk.ua,12.06.2020 7:05:55,DHCP,408d5ca828a1,
172.22.12.70,OGE-5220.nkmz.donetsk.ua,12.06.2020 8:06:10,DHCP,1c6f65769b2e,
172.22.12.71,OGE-1752.nkmz.donetsk.ua,12.06.2020 7:49:16,DHCP,008048b5026d,
172.22.12.72,oge-2821.,12.06.2020 6:53:39,DHCP,00308427f3da,
172.22.12.74,fieldpgm2up.,12.06.2020 7:12:28,DHCP,000e8c8ec438,
